Subpopulation,XCOORD,YCOORD,Subpop_mortperc,ID,sex,age,infection,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
1,0,0,0,NA,NA,NA,NA,50,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,NA,NA,NA,NA,50,2,0,0,0,0,0,0,0,0,0,0
2,2,0,0,add2_year1,1,1,0,50,3,0,0,0,0,0,0,0,0,0,0
2,3,0,0,add3_year1,1,1,0,50,4,0,0,0,0,0,0,0,0,0,0
3,0,1,0,add0_year1,1,1,0,50,5,0,0,0,0,0,0,0,0,0,0
4,1,1,0,NA,NA,NA,NA,50,6,0,0,0,0,0,0,0,0,0,0
5,2,1,0,NA,NA,NA,NA,50,7,0,0,0,0,0,0,0,0,0,0
6,3,1,0,NA,NA,NA,NA,50,8,0,0,0,0,0,0,0,0,0,0
7,0,2,0,add1_year1,1,1,0,50,9,0,0,0,0,0,0,0,0,0,0
8,1,2,0,NA,NA,NA,NA,50,10,0,0,0,0,0,0,0,0,0,0
9,2,2,0,NA,NA,NA,NA,50,11,0,0,0,0,0,0,0,0,0,0
10,3,2,0,NA,NA,NA,NA,50,12,0,0,0,0,0,0,0,0,0,0
11,0,3,0,NA,NA,NA,NA,50,13,0,0,0,0,0,0,0,0,0,0
12,1,3,0,NA,NA,NA,NA,50,14,0,0,0,0,0,0,0,0,0,0
13,2,3,0,NA,NA,NA,NA,50,15,0,0,0,0,0,0,0,0,0,0
14,3,3,0,NA,NA,NA,NA,50,16,0,0,0,0,0,0,0,0,0,0
