Subpopulation,XCOORD,YCOORD,Subpop_mortperc,ID,sex,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
1,0,0,0,initial0,1,50,1,100,0,0,0,0,0,0,0,0,0
1,1,0,0,initial1,0,50,2,100,0,0,0,0,0,0,0,0,0
2,2,0,0,initial2,1,50,3,100,0,0,0,0,0,0,0,0,0
2,3,0,0,initial3,0,50,4,100,0,0,0,0,0,0,0,0,0
1,0,1,0,initial4,1,50,5,100,0,0,0,0,0,0,0,0,0
1,1,1,0,initial5,0,50,6,100,0,0,0,0,0,0,0,0,0
2,2,1,0,initial6,1,50,7,100,0,0,0,0,0,0,0,0,0
2,3,1,0,initial7,0,50,8,100,0,0,0,0,0,0,0,0,0
4,0,2,0,initial8,1,50,9,100,0,0,0,0,0,0,0,0,0
4,1,2,0,initial9,0,50,10,100,0,0,0,0,0,0,0,0,0
4,2,2,0,initial10,1,50,11,100,0,0,0,0,0,0,0,0,0
4,3,2,0,initial11,0,50,12,100,0,0,0,0,0,0,0,0,0
4,0,3,0,initial12,1,50,13,100,0,0,0,0,0,0,0,0,0
3,1,3,0,initial13,0,50,14,100,0,0,0,0,0,0,0,0,0
3,2,3,0,initial14,1,50,15,100,0,0,0,0,0,0,0,0,0
3,3,3,0,initial15,0,50,16,100,0,0,0,0,0,0,0,0,0
