Subpopulation,XCOORD,YCOORD,Subpop_mortperc,ID,sex,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
1,0,0,0|20,initial0,1,50|20,1,0|20,0,0,0,0,0,0,0,0,0
1,1,0,0|21,initial1,0,50|21,2,0|21,0,0,0,0,0,0,0,0,0
2,2,0,0|22,initial2,1,50|22,3,0|22,0,0,0,0,0,0,0,0,0
2,3,0,0|23,initial3,0,50|23,4,0|23,0,0,0,0,0,0,0,0,0
1,0,1,0|24,initial4,1,50|24,5,0|24,0,0,0,0,0,0,0,0,0
1,1,1,0|25,initial5,0,50|25,6,0|25,0,0,0,0,0,0,0,0,0
2,2,1,0|26,initial6,1,50|26,7,0|26,0,0,0,0,0,0,0,0,0
2,3,1,0|27,initial7,0,50|27,8,0|27,0,0,0,0,0,0,0,0,0
4,0,2,0|28,initial8,1,50|28,9,0|28,0,0,0,0,0,0,0,0,0
4,1,2,0|29,initial9,0,50|29,10,0|29,0,0,0,0,0,0,0,0,0
4,2,2,0|30,initial10,1,50|30,11,0|30,0,0,0,0,0,0,0,0,0
4,3,2,0|31,initial11,0,50|31,12,0|31,0,0,0,0,0,0,0,0,0
4,0,3,0|32,initial12,1,50|32,13,0|32,0,0,0,0,0,0,0,0,0
3,1,3,0|33,initial13,0,50|33,14,0|33,0,0,0,0,0,0,0,0,0
3,2,3,0|34,initial14,1,50|34,15,0|34,0,0,0,0,0,0,0,0,0
3,3,3,0|35,initial15,0,50|35,16,0|35,0,0,0,0,0,0,0,0,0
